"REGION","SUB_REGION","DISTRICT","SUBCOUNTY","NAME","UID","COORDINATES","OPERATIONAL STATUS","FACILITY_LEVEL","OWNERSHIP_NAME","AUTHORITY_NAME"
"Northern Region","Lango","Lira District","Barr Subcounty","Abunga HC II","bySgMOvuyJ2","{""type"": ""Point"", ""coordinates"": [33.04301, 2.30099]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Omoro District","Ongako Subcounty","Abwoch HC II","JryqknC2SNp","{""type"": ""Point"", ""coordinates"": [32.2818, 2.70519]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Kwania District","Abongomola Subcounty","Abwong HC II","ak9IdtlLSjV","{""type"": ""Point"", ""coordinates"": [32.85343, 2.05885]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Otuke District","Adwari Subcounty","Acane HC II","I2vtsfZKyVP","""""","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Makindye Division","Access Clinic HC II","DhNRFgDOTR6","""""","Non-Functional","HC II","PFP","Private"
"Northern Region","Acholi","Omoro District","Odek Subcounty","Acet Community Oriented Clinic","aaEtUWpmosm","{""type"": ""Point"", ""coordinates"": [32.65478, 2.68794]}","Non-Functional","Clinic","PFP","Private"
"Northern Region","Acholi","Omoro District","Odek Subcounty","Acet HC II","b5RkGqLLhrM","""""","Functional","HC II","GOV","MOH"
"Northern Region","Karamoja","Moroto District","Nadunget Subcounty","Acherer HC II","hUExMWP2C4O","""""","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Pader District","Acholibur Subcounty","Acholi-Bur HC III","KgFiiUmrRxI","{""type"": ""Point"", ""coordinates"": [32.91527, 3.15405]}","Functional","HC III","GOV","MOH"
"Northern Region","Acholi","Agago District","Arum Subcounty","Acholpii HC III","aKoVWgIufTx","{""type"": ""Point"", ""coordinates"": [33.099431, 2.697541]}","Functional","HC III","GOV","MOH"
"Northern Region","Karamoja","Amudat District","Loroo Subcounty","Achorichor HC II","DXPEWHcbZwC","{""type"": ""Point"", ""coordinates"": [34.94363, 1.66444]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Amolatar District","Namasale Subcounty","Acii HC II","kBCFqr2AhTe","{""type"": ""Point"", ""coordinates"": [32.63669, 1.57998]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Amolatar District","Acii Subcounty","","VJ1b5PnPMhA","""""","","","",""
"Northern Region","Lango","Oyam District","Myene Subcounty","Acimi HC II","w9roqtex0ih","{""type"": ""Point"", ""coordinates"": [32.25644, 2.39442]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Oyam District","Otwal Subcounty","Acokara HC II","x4fr2px73Bq","{""type"": ""Point"", ""coordinates"": [32.63002, 2.56027]}","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Kapelebyong District","Acowa Subcounty","Acowa HC III","krIH36G6xhy","{""type"": ""Point"", ""coordinates"": [33.79804, 2.07524]}","Functional","HC III","GOV","MOH"
"Central Region","South Central","Wakiso District","Mende Subcounty","Act Now Clinic HC II","kQeei91EB4G","""""","","HC II","PFP","Private"
"Western Region","Ankole","Mbarara District","Kakoba Division","Acumpa Medical Center Clinic","FB9UPPYu0VI","""""","Functional","Clinic","PFP","Private"
"Northern Region","Acholi","Agago District","Lira Palwo Subcounty","Acuru HC II","wLkwoyLOOZe","{""type"": ""Point"", ""coordinates"": [33.143829, 2.809988]}","Functional","HC II","GOV","MOH"
"Central Region","North Central","Kayunga District","Nazigo Subcounty","Acute Health Care HC II","SC1rAlJqGGu","""""","Functional","HC II","PFP","Private"
"Northern Region","Lango","Oyam District","Abok Subcounty","Acut HC II","MJ9v2U4WWzE","""""","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Kwania District","Nambieso Subcounty","Acwao HC II","L8aG2wV3SbE","{""type"": ""Point"", ""coordinates"": [32.71652, 1.89767]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Dokolo District","Dokolo Subcounty","Adagmon HC II","zy3p9lNo0dh","""""","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Amuria District","Orungo Subcounty","Adakun HC II","M864p5iRGub","""""","Functional","HC II","PNFP","CBO"
"Central Region","Kampala","Kampala District","Makindye Division","Adcare Medical Centre HC II","QK5ZCQuizO6","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Addy Memorial Hospital","Gc3ib2w1tQW","""""","Functional","","",""
"Northern Region","Karamoja","Abim District","Morulem Subcounty","Adea HC II","vXlnJIdin7f","{""type"": ""Point"", ""coordinates"": [33.66472, 2.51721]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Oyam District","Loro Subcounty","Adigo HC II","qQ3wnUFmTck","{""type"": ""Point"", ""coordinates"": [32.49846, 2.13687]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Agago District","Adilang Subcounty","Adilang HC III","FvewOonC8lS","{""type"": ""Point"", ""coordinates"": [33.47525, 2.74138]}","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Adjumani District","Adjumani Town Council","Adjumani Hospital","hvtKTUxWNrt","{""type"": ""Point"", ""coordinates"": [31.791966, 3.377464]}","Functional","Hospital","GOV","MOH"
"Northern Region","West Nile","Adjumani District","Adjumani Town Council","Adjumani Mission HC III","aoqEF4fUP18","{""type"": ""Point"", ""coordinates"": [31.782109, 3.378619]}","Functional","HC III","PNFP","UCMB"
"Northern Region","West Nile","Adjumani District","Adjumani Town Council","Adjumani Police HC II","mZWFol2c0sc","""""","Functional","HC II","GOV","UPF"
"Northern Region","West Nile","Adjumani District","Adropi Subcounty","Adjumani Prisons HC II","UTC3IbJUl4K","""""","Functional","HC II","GOV","UPS"
"Northern Region","Lango","Dokolo District","Adok Subcounty","Adok HC II","tdWJ67qCYZK","{""type"": ""Point"", ""coordinates"": [32.918235, 1.990526]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Dokolo District","Adok Subcounty","Adok Maternity Home","edmPMqBbzJw","""""","Functional","","PFP","CBO"
"Northern Region","Lango","Kwania District","Aduku Town Council","Aduku HC IV","WEH3aMvIS0B","{""type"": ""Point"", ""coordinates"": [32.71821, 1.99544]}","Functional","HC IV","GOV","MOH"
"Northern Region","Lango","Kwania District","Aduku Town Council","Aduku Mission HC II","YrbvkUaWpi1","{""type"": ""Point"", ""coordinates"": [32.71184, 1.99291]}","Functional","HC II","PNFP","UCMB"
"Northern Region","Lango","Lira District","Ojwina Division","Aduku Road Maternity Home HC III","FoJythstdxB","""""","Non-Functional","HC III","PFP","Private"
"Northern Region","West Nile","Arua District","Adumi Subcounty","Adumi HC IV","H7pcxkjHX8T","{""type"": ""Point"", ""coordinates"": [30.83332, 3.04145]}","Functional","HC IV","GOV","MOH"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Adventist Medical Centre HC III","aWtkpwtp9JE","{""type"": ""Point"", ""coordinates"": [32.57029, 0.32553]}","Functional","HC III","PNFP","SDA"
"Northern Region","Lango","Alebtong District","Omoro Subcounty","Adwir HC II","klwx6rSe63o","{""type"": ""Point"", ""coordinates"": [33.4727, 2.29121]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Dokolo District","Agwata Subcounty","Adwoki Maternity Home","I6dPpBBTk04","""""","Functional","","PFP","Private"
"Northern Region","Lango","Oyam District","Loro Subcounty","Adyeda Baracks HC II","NYF35p8MsAW","""""","Functional","HC II","GOV",""
"Northern Region","Lango","Oyam District","Aber Subcounty","Adyegi HC II","z2gOui585Sl","{""type"": ""Point"", ""coordinates"": [32.37771, 2.09911]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Lira District","Adyel Division","Adyel HC III","wHkTdzF4SpR","""""","Functional","HC III","GOV","MOH"
"Eastern Region","Teso","Kapelebyong District","Okungur Subcounty","Aeket HC II","b9epW1JQKWV","{""type"": ""Point"", ""coordinates"": [33.68005, 2.3294]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Oyam District","Loro Town Council","Aero Medical Center HC II","nJpOMVvfqsv","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Aestram Medical Centre HC II","IQS9JC6tLqf","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Afaayo Medical Centre HC II","b1q8b2dPv7x","""""","Non-Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Afayo Clinic HC II","nC1oMDxIYAV","""""","Functional","HC II","PFP","Private"
"Eastern Region","Bukedi","Tororo District","Malaba Town Council","Afia Bora Medical Center Clinic","ZRBqBbpBodi","""""","Functional","Clinic","PFP","Private"
"Northern Region","West Nile","Moyo District","Moyo Subcounty","Afoji HC II","aEvCseBkEDr","""""","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Afram Dental Surgery HC II","RYjPNztwgsb","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","African Centre For Treatment and Rehabilitation Of Torture Victims HC II","hqnNEwgPs0M","""""","Functional","HC II","PNFP","CBO"
"Central Region","South Central","Masaka District","Kabonera Subcounty","Africa with Love Clinic","PGeRjyaiGsg","""""","Functional","Clinic","PFP","Private"
"Eastern Region","Bukedi","Tororo District","Malaba Town Council","Africure Medical Center","Gv6gOC3pJAJ","""""","Functional","Clinic","PFP","Private"
"Western Region","Kigezi","Kisoro District","Southern Division (Kisoro MC)","Afya Clinic","gXiG10Hmt7w","""""","Functional","Clinic","PFP","Private"
"Western Region","Tooro","Kasese District","Central Division (Kasese MC)","Afya Kamili HC III","d8wJvZXLzrK","{""type"": ""Point"", ""coordinates"": [30.077756, 0.178694]}","Functional","HC III","PFP","Private"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Aga Khan Acacia Clinic HC II","vLAcz6G3NjH","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Aga Khan Bugolobi Clinic HC II","jbatTSEbtsn","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Aga Khan DTB Clinic HC II","aZC9r2VDNby","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Agaliawamu Clinic","vQnCilUme6q","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Kira Division","Agali Awamu Medical Centre HC III","c9KVejXGqhP","""""","Functional","HC III","PFP","Private"
"Northern Region","Lango","Lira District","Agali Subcounty","Agali HC III","I9nJzN3m8qL","{""type"": ""Point"", ""coordinates"": [33.11322, 2.1275]}","Functional","HC III","GOV","MOH"
"Central Region","Kampala","Kampala District","Rubaga Division","Agali Top Quality Clinic HC II","jNdtzzeIbNg","""""","Functional","HC II","PFP","Private"
"Northern Region","Lango","Apac District","Ibuje Subcounty","Aganga HC II","Qjo6d9XrGLZ","{""type"": ""Point"", ""coordinates"": [32.18652, 1.76227]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Kole District","Aboke Subcounty","Agape Drug Shop - Kole","vR1NTVCPAox","""""","Functional","Drug Shop","",""
"Central Region","South Central","Wakiso District","Kasangati Town Council","Agape Medical Centre HC III","JaIYQr2BXHb","""""","Functional","HC III","PFP","Private"
"Central Region","North Central","Kiboga District","Kiboga Town Council","Agape Nursing Home HC III","Jap4sosMZZN","{""type"": ""Point"", ""coordinates"": [31.76535, 0.91937]}","Functional","HC III","PFP","Private"
"Eastern Region","Teso","Kumi District","Mukongoro Subcounty","Agaria HC II","l9hCccYpw87","{""type"": ""Point"", ""coordinates"": [33.78289, 1.35049]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Oyam District","Ngai Subcounty","AGENO DRUG SHOP - Oyam","Pt5JdbbEF6k","""""","Functional","Drug Shop","",""
"Central Region","South Central","Wakiso District","Nansana Division","Ages Health Care HC II","CSzg0bIBkCh","""""","","HC II","PFP","Private"
"Western Region","Tooro","Kabarole District","Southern Division (Kabarole MC)","Ageteraine Nursing Home HC II","Qlkl4NZqpFm","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Aggie Pharmacy & Clinic HC II","ewuJHi84Wld","""""","Non-Functional","HC II","PFP","Private"
"Northern Region","West Nile","Zombo District","Warr Subcounty","Agiermach HC III","vFo5oNkc7Nn","{""type"": ""Point"", ""coordinates"": [30.86262, 2.57507]}","Functional","HC III","PNFP","UCMB"
"Eastern Region","Teso","Soroti District","Arapai Subcounty","Agirigiroi HC II","PCvI4E289K1","{""type"": ""Point"", ""coordinates"": [33.59886, 1.93492]}","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Adjumani District","Ciforo Subcounty","Agojo HC II","a8NfqlGUC18","{""type"": ""Point"", ""coordinates"": [31.72344, 3.42434]}","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Kapelebyong District","Okungur Subcounty","Agonga HC II","EWb0gMfNpiq","{""type"": ""Point"", ""coordinates"": [33.58655, 2.2464]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Gulu District","Laliya Subcounty","Agonga Karine Community HC II","CkUZza1MI3Y","""""","Functional","HC II","PNFP","UPMB"
"Northern Region","Acholi","Lamwo District","Agoro Subcounty","Agoro HC III","tvKjvN8d4rR","{""type"": ""Point"", ""coordinates"": [33.01783, 3.80292]}","Functional","HC III","GOV","MOH"
"Eastern Region","Teso","Ngora District","Ngora Subcounty","Agu HC III","S70E0FJrMtU","{""type"": ""Point"", ""coordinates"": [33.72305, 1.4736]}","Functional","HC III","GOV","MOH"
"Eastern Region","Bukedi","Pallisa District","Agule Subcounty","Agule Community HC III","ULxokAFLmD2","""""","Functional","HC III","PNFP","CBO"
"Eastern Region","Bukedi","Pallisa District","Agule Subcounty","Agule HC III","aMrHxMQoKXP","{""type"": ""Point"", ""coordinates"": [33.71188, 1.28066]}","Functional","HC III","GOV","MOH"
"Eastern Region","Bukedi","Pallisa District","Agule Subcounty","Agule  Prison Clinic","cVcvIS0HJ12","""""","Functional","HC II","","UPS"
"Northern Region","Lango","Oyam District","Loro Subcounty","Agulurude HC III","aes9vvQi4Df","{""type"": ""Point"", ""coordinates"": [32.6103, 2.2945]}","Functional","HC III","GOV","MOH"
"Eastern Region","Teso","Kumi District","Nyero Subcounty","Agurut HC II","D6wxWnyZ0vc","{""type"": ""Point"", ""coordinates"": [33.89529, 1.46231]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Dokolo District","Agwata Subcounty","Agwatta HC III","sYHZIUFx50X","{""type"": ""Point"", ""coordinates"": [33.048827, 1.984366]}","Functional","HC III","GOV","MOH"
"Central Region","South Central","Wakiso District","Bweyogerere Division","Ahamadine Day Care Clinic HC II","U96HiItNahB","""""","Functional","HC II","PFP","Private"
"Eastern Region","Bugisu","Mbale District","Northern Division (Mbale MC)","Ahamadiya HC IV","potmv2l4HbN","""""","Functional","HC IV","PNFP","UMMB"
"Western Region","Tooro","Kamwenge District","Kahunge Subcounty","Ahumuza Winnie Consultants Clinic","r4O4WMmqbS8","""""","Functional","Clinic","PFP","Private"
"Eastern Region","Teso","Kumi District","Southern Division (Kumi MC)","Aica Medical Centre","ZBPe0cQ3opj","""""","Non-Functional","HC II","PFP","Private"
"Northern Region","West Nile","Arua District","Arua Hill Division","AIDS Information Centre (Arua) Special Clinic","XpJak3aZzRX","""""","Functional","","PNFP","AIC"
"Eastern Region","Busoga","Jinja District","Central Division (Jinja MC)","AIDS Information Centre (Jinja) Special Clinic","ndyRWKL0fDH","""""","Functional","","PNFP","AIC"
"Western Region","Kigezi","Kabale District","Southern Division (Kabale MC)","AIDS Information Centre (Kabale) Special Clinic","s0sTvb5DnDP","""""","Functional","","PNFP","AIC"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","AIDS Information Centre (Kampala) Special Clinic","rxoAz9lkuSi","{""type"": ""Point"", ""coordinates"": [32.56755, 0.30757]}","Functional","","PNFP","AIC"
"Northern Region","Lango","Lira District","Central Division (Lira MC)","AIDS Information Centre (Lira) Special Clinic","b27exHAFNPv","""""","Functional","","PNFP","AIC"
"Eastern Region","Bugisu","Mbale District","Mbale Industrial Division","AIDS Information Centre (Mbale) Special Clinic","v9p3jFvYYtP","""""","Functional","","PNFP","AIC"
"Western Region","Ankole","Mbarara District","Kakoba Division","AIDS Information Centre (Mbarara) Special Clinic","sPWbPZtb3ut","""""","Functional","","PNFP","AIC"
"Eastern Region","Teso","Soroti District","Western Division (Soroti MC)","AIDS Information Centre (Soroti) HC II","p0gQCb29YsS","""""","Functional","HC II","PNFP","AIC"
"Northern Region","West Nile","Moyo District","Moyo Town Council","Aim Medical Centre Clinic","F8yBwdNB8LA","""""","Functional","Clinic","PFP","Private"
"Eastern Region","Teso","Kapelebyong District","Okungur Subcounty","Airabet HC II","MWw3vC4RH99","""""","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Rubaga Division","Aisha Domiciliary Clinic","khbm0rn5EcC","""""","Functional","HC II","PFP","Private"
